1670334822.690479352, 8.39357, 10.6133, -0.709636
1670334822.747632468, 8.39357, 10.6133, -0.709636
1670334822.809623105, 8.39357, 10.6133, -0.709636
1670334822.871404846, 8.39357, 10.6133, -0.709636
1670334822.927862012, 8.39357, 10.6133, -0.709636
1670334822.953988356, 8.39357, 10.6133, -0.709636
1670334823.009523296, 8.39357, 10.6133, -0.709636
1670334823.068957393, 8.39357, 10.6133, -0.709636
1670334823.130714997, 8.39357, 10.6133, -0.709636
1670334823.187431749, 8.39357, 10.6133, -0.709636
1670334823.249388970, 8.39357, 10.6133, -0.709636
1670334823.306365511, 8.39357, 10.6133, -0.709636
1670334823.367990977, 8.39357, 10.6133, -0.709636
1670334823.424672188, 8.39357, 10.6133, -0.709636
1670334823.445148260, 8.39357, 10.6133, -0.709636
1670334823.506766376, 8.39357, 10.6133, -0.709636
1670334823.569008492, 8.39357, 10.6133, -0.709636
1670334823.626984343, 8.39357, 10.6133, -0.709636
1670334823.683553081, 8.39357, 10.6133, -0.709636
1670334823.745450352, 8.39357, 10.6133, -0.709636
1670334823.766388708, 8.39357, 10.6133, -0.709636
1670334823.827109144, 8.39357, 10.6133, -0.709636
1670334823.883884613, 8.39357, 10.6133, -0.709636
1670334823.945968683, 8.39357, 10.6133, -0.709636
1670334824.003421108, 8.39357, 10.6133, -0.709636
1670334824.065173892, 8.39357, 10.6133, -0.709636
1670334824.127474129, 8.39357, 10.6133, -0.709636
1670334824.184908306, 8.39357, 10.6133, -0.709636
1670334824.240233271, 8.39357, 10.6133, -0.709636
1670334824.266099964, 8.39357, 10.6133, -0.709636
1670334824.323263570, 8.39357, 10.6133, -0.709636
1670334824.386181494, 8.39357, 10.6133, -0.709636
1670334824.443095122, 8.39357, 10.6133, -0.709636
1670334824.500190660, 8.39357, 10.6133, -0.709636
1670334824.561471767, 8.39357, 10.6133, -0.709636
1670334824.581943682, 8.39357, 10.6133, -0.709636
1670334824.642238637, 8.39357, 10.6133, -0.709636
1670334824.662756985, 8.39357, 10.6133, -0.709636
1670334824.720043101, 8.39357, 10.6133, -0.709636
1670334824.743515089, 8.39357, 10.6133, -0.709636
1670334824.802719930, 8.39357, 10.6133, -0.709636
1670334824.857034360, 8.39357, 10.6133, -0.709636
1670334824.880622809, 8.39357, 10.6133, -0.709636
