EPC,NUMBER,x,y,z
E2003EA4E98A9A4A6181A8DA,145,,,
E2003EA4E98AC04A6181A972,146,,,
E2003EA4E98ABD4A6181A966,147,,,
E2003EA4E98AB14A6181A936,148,,,
E2003EA4E98AB04A6181A932,149,,,
E2003EA4E988D60A6181A1C9,150,,,
E2003EA4E98ABE4A6181A96A,151,,,
E2003EA4E98AAF4A6181A92E,152,,,
E2003EA4E98AB44A6181A942,153,,,
E2003EA4E988F10A6181A235,154,,,
E2003EA4E988F20A6181A239,155,,,
E2003EA4E988E60A6181A209,156,,,
E2003EA4E988E10A6181A1F5,157,,,
E2003EA4E988F40A6181A241,158,,,
E2003EA4E988EF0A6181A22D,159,,,
E2003EA4E989370A6181A34D,160,,,
E2003EA4E989380A6181A351,161,,,
E2003EA4E989450A6181A385,162,,,
E2003EA4E989460A6181A389,163,,,
E2003EA4E98A7F4A6181A86E,164,,,
E2003EA4E98A7E4A6181A86A,165,,,
E2003EA4E98A8E4A6181A8AA,166,,,
E2003EA4E98A8C4A6181A8A2,167,,,
E2003EA4E98A814A6181A876,168,,,
E2003EA4E98A804A6181A872,169,,,
E2003EA4E98AA54A6181A906,170,,,
E2003EA4E98AA44A6181A902,171,,,
E2003EA4E98A994A6181A8D6,172,,,
E2003EA4E98A984A6181A8D2,173,,,
E2003EA4E98AA64A6181A90A,174,,,
E2003EA4E98AA34A6181A8FE,175,,,
E2003EA4E98A414A6181A776,176,,,
E2003EA4E98A404A6181A772,177,,,
E2003EA4E98A334A6181A73E,178,,,
E2003EA4E98A324A6181A73A,179,,,
E2003EA4E98A5C4A6181A7E2,180,,,
E2003EA4E98A564A6181A7CA,181,,,
E2003EA4E98A4B4A6181A79E,182,,,
E2003EA4E98A4A4A6181A79A,183,,,
E2003EA4E98A5B4A6181A7DE,184,,,
E2003EA4E98A5A4A6181A7DA,185,,,
E2003EA4E98A4D4A6181A7A6,186,,,
E2003EA4E98A4C4A6181A7A2,187,,,
E2003EA4E98A734A6181A83E,188,,,
E2003EA4E98A724A6181A83A,189,,,
E2003EA4E98A684A6181A812,190,,,
E2003EA4E98A654A6181A806,191,,,
E2003EA4E98A754A6181A846,192,,,
E2003EA4E98A744A6181A842,193,,,
E2003EA4E98A674A6181A80E,194,,,
E2003EA4E98A664A6181A80A,195,,,
E2003EA4E98A8B4A6181A89E,196,,,
E2003EA4E98A8A4A6181A89A,197,,,
E2003EA4E9890D0A6181A2A5,198,,,
E2003EA4E9890E0A6181A2A9,199,,,
E2003EA4E988E30A6181A1FD,200,,,
